Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,DiffX5,DiffY5
179,-285.512,1979.62,292.996,3148.61,171.108,4149.2,55.795,5213.43,-56.8724,6347.21,-277.547,7348.87,7634.382,-2257.167
180,-286.923,1989.42,293.12,3148.61,171.204,4149.19,55.8929,5213.39,-58.0935,6347.31,-277.648,7348.68,7635.603,-2267.068
181,-288.471,1999.69,292.714,3148.62,171.162,4149.26,55.8144,5213.48,-58.0116,6347.37,-277.823,7348.92,7637.391,-2277.513
182,-289.923,2009.4,292.939,3148.7,171.163,4149.16,55.805,5213.37,-57.2279,6347.14,-277.891,7348.92,7638.843,-2287.291
183,-291.373,2018.9,293.1,3148.61,171.152,4149.18,55.8859,5213.38,-57.8511,6346.31,-277.893,7348.82,7640.193,-2296.793
184,-293.156,2029.53,292.928,3148.64,171.134,4149.22,55.8269,5213.46,-58.1342,6347.44,-277.686,7348.85,7642.006,-2307.216
185,-294.888,2039.89,292.689,3148.68,171.16,4149.25,55.8549,5213.43,-57.2948,6347.26,-277.652,7348.9,7643.788,-2317.542
186,-296.607,2049.34,293.022,3148.65,171.074,4149.14,55.8072,5213.41,-58.2218,6347.26,-277.558,7348.88,7645.487,-2326.898
187,-298.447,2059.25,293.042,3148.61,170.187,4148.04,55.8797,5213.39,-58.1945,6347.27,-277.772,7348.68,7647.127,-2337.022
188,-299.882,2069.47,292.736,3148.52,170.205,4148.07,55.8863,5213.35,-57.4221,6347.22,-277.914,7348.89,7648.772,-2347.384
189,-301.737,2079.27,293.012,3148.65,170.134,4148.06,55.7849,5213.33,-58.176,6347.27,-277.496,7348.79,7650.527,-2356.766
190,-303.299,2088.98,293.045,3148.56,170.132,4148.06,55.7105,5213.36,-58.2274,6347.25,-277.747,7348.69,7651.989,-2366.727
191,-304.95,2099.12,292.566,3149.07,170.184,4148.18,55.94,5213.54,-57.2608,6347.37,-277.423,7348.96,7653.91,-2376.543
192,-306.368,2109.35,292.796,3148.81,170.223,4148.15,55.9468,5213.48,-57.1499,6347.25,-277.668,7348.86,7655.228,-2387.018
193,-311.083,2119.26,292.986,3148.5,170.126,4148.07,55.6728,5213.28,-56.7034,6346.94,-277.993,7348.83,7659.913,-2397.253
194,-311.436,2128.94,293.022,3148.6,170.116,4148.04,55.7804,5213.43,-58.3622,6347.3,-277.859,7348.79,7660.226,-2406.799
195,-313.034,2139.1,292.844,3148.7,170.286,4148.12,56.0557,5213.48,-57.364,6347.3,-277.57,7348.88,7661.914,-2416.67
196,-315.139,2148.65,292.874,3148.58,170.052,4148.09,55.6281,5213.26,-58.435,6347.34,-277.895,7348.94,7664.079,-2426.545
197,-316.451,2158.28,292.533,3148.94,170.062,4148.03,55.3331,5213.08,-58.3418,6347.24,-278.008,7348.7,7665.151,-2436.288
198,-317.812,2168.53,292.872,3148.69,170.312,4148.12,55.6576,5213.19,-58.5687,6347.48,-277.431,7349.02,7666.832,-2445.961
199,-319.958,2178.71,292.479,3148.98,170.128,4148.2,55.3882,5213.16,-57.3129,6347.26,-277.755,7348.92,7668.878,-2456.465
