Frame,radarX,radarY,R1X,R1Y,R2X,R2Y,R3X,R3Y,R4X,R4Y,R5X,R5Y,GT1X,GT2X,GT3X,GT4X,GT5X,GT1Y,GT2Y,GT3Y,GT4Y,GT5Y
112,-106.898,1295.9,285.151,3290.92,144.553,4302.16,45.8805,5191.83,-434.411,6348.23,-1231.17,7183.05,1.99502,3.00626,3.89593,5.05233,5.88715,0.4,0.4,0.4,0,-0.4
113,-107.508,1305.56,284.939,3291.29,144.538,4302.19,45.6599,5191.71,-434.487,6348.51,-1230.81,7183.14,1.98573,2.99663,3.88615,5.04295,5.87758,0.4,0.4,0.4,0,-0.4
114,-107.904,1316.23,285.219,3291.33,144.622,4302.12,46.8041,5192.41,-434.389,6348.22,-1230.85,7182.52,1.9751,2.98589,3.87618,5.03199,5.86629,0.4,0.4,0.4,0,-0.4
115,-108.669,1326.18,285.011,3290.42,144.545,4302.14,46.5377,5192.37,-434.489,6348.28,-1231.31,7182.99,1.96424,2.97596,3.86619,5.0221,5.85681,0.4,0.4,0.4,0,-0.4
116,-109.392,1336.71,285.067,3291.08,144.473,4302.29,46.7923,5192.64,-434.423,6348.5,-1230.91,7183.53,1.95437,2.96558,3.85593,5.01179,5.84682,0.4,0.4,0.4,0,-0.4
117,-109.378,1346.25,285.222,3291.12,144.447,4302.2,45.9554,5191.89,-434.349,6348.27,-1230.72,7183.05,1.94487,2.95595,3.84564,5.00202,5.8368,0.4,0.4,0.4,0,-0.4
118,-111.104,1356.2,284.922,3290.94,144.459,4301.99,46.3227,5192.32,-434.678,6348.27,-1231.37,7182.59,1.93474,2.94579,3.83612,4.99207,5.82639,0.4,0.4,0.4,0,-0.4
119,-111.398,1366.33,285.147,3290.79,144.433,4302.12,46.7103,5192.46,-434.486,6348.2,-1231.27,7183.19,1.92446,2.93579,3.82613,4.98187,5.81686,0.4,0.4,0.4,0,-0.4
120,-112.083,1376.15,285.207,3290.91,144.449,4302.24,46.9291,5192.62,-434.337,6348.47,-1230.77,7183.31,1.91476,2.92609,3.81647,4.97232,5.80716,0.4,0.4,0.4,0,-0.4
121,-112.634,1386.28,285.046,3291.09,144.602,4302.1,45.5794,5191.74,-434.53,6348.27,-1231.38,7182.8,1.90481,2.91582,3.80546,4.96199,5.79652,0.4,0.4,0.4,0,-0.4
122,-113.131,1397.01,285.277,3291.02,144.529,4302.12,45.992,5191.98,-434.419,6348.07,-1231.23,7182.66,1.89401,2.90511,3.79497,4.95106,5.78565,0.4,0.4,0.4,0,-0.4
123,-113.932,1406.47,285.169,3291.08,144.105,4302.2,46.9197,5192.73,-434.352,6348.64,-1230.46,7183.3,1.88461,2.89573,3.78626,4.94217,5.77683,0.4,0.4,0.4,0,-0.4
124,-114.584,1416.46,285.049,3291.09,143.762,4301.95,45.7571,5191.64,-434.446,6348.28,-1231.05,7182.97,1.87463,2.88549,3.77518,4.93182,5.76651,0.4,0.4,0.4,0,-0.4
125,-115.37,1426.43,285.033,3290.98,144.531,4302.02,45.5738,5191.76,-434.594,6348.1,-1231.35,7182.46,1.86455,2.87559,3.76533,4.92167,5.75603,0.4,0.4,0.4,0,-0.4
126,-115.271,1433.39,285.198,3290.99,144.415,4302.17,45.9341,5191.95,-434.4,6348.4,-1230.87,7183.26,1.8576,2.86878,3.75856,4.91501,5.74987,0.4,0.4,0.4,0,-0.4
127,-115.433,1442.4,285.165,3290.9,144.405,4302.24,46.9021,5192.55,-434.387,6348.35,-1231.07,7183.51,1.8485,2.85984,3.75015,4.90595,5.74111,0.4,0.4,0.4,0,-0.4
128,-117.59,1456.46,284.844,3290.45,144.547,4301.8,46.415,5192.43,-434.619,6348.37,-1231.22,7182.9,1.83399,2.84534,3.73597,4.89191,5.72644,0.4,0.4,0.4,0,-0.4
129,-118.049,1466.77,285.267,3291.08,144.52,4301.74,46.7379,5192.32,-434.407,6348.17,-1230.89,7182.56,1.82431,2.83497,3.72555,4.8814,5.71579,0.4,0.4,0.4,0,-0.4
130,-116.759,1473.12,285.127,3290.83,144.614,4301.84,46.8007,5192.22,-434.461,6348.35,-1231,7183.09,1.81771,2.82872,3.7191,4.87523,5.70997,0.4,0.4,0.4,0,-0.4
